Nome: BAURU
Codigo Estacao: A705
Latitude: -22.35805555
Longitude: -49.02888888
Altitude: 636.17
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2018-01-01;6,4;29,3;22,4;20,2;
2018-01-02;17,4;26,1;21,7;19,4;
2018-01-03;11,6;28,9;23,2;20,1;
2018-01-04;,2;31,6;24,6;19,8;
2018-01-05;0;32,3;24,5;18,4;
2018-01-06;9,8;28,5;23,5;20,6;
2018-01-07;1;27,9;21,6;17,4;
2018-01-08;15,4;23,3;20,3;18,7;
2018-01-09;25,2;23;20,2;18,5;
2018-01-10;1,8;28,1;23,2;19,5;
2018-01-11;0;30,8;22,2;20,2;
2018-01-12;32;28,7;21,3;17,8;
2018-01-13;2,8;28,7;22,5;18,9;
2018-01-14;0;27,6;22,2;19,3;
2018-01-15;3;29,8;23,6;19,8;
2018-01-16;9,6;29;22,9;19,5;
2018-01-17;35,6;30,9;23,7;19,9;
2018-01-18;0;31,8;24,2;21;
2018-01-19;22;32,8;24,4;18,9;
2018-01-20;,4;31,9;24,8;19,7;
2018-01-21;0;32,5;25,4;20,7;
2018-01-22;0;34,5;26,7;20,8;
2018-01-23;0;34,6;26,9;20,9;
2018-01-24;1;33,6;25,4;20,2;
2018-01-25;17,6;31,1;24,2;19,8;
2018-01-26;3,6;31,1;24,7;20,5;
2018-01-27;0;31,9;24,7;19,9;
2018-01-28;0;33,1;24,5;20,4;
2018-01-29;1;29,9;23,5;19,9;
2018-01-30;5,6;26,4;21,5;18,5;
2018-01-31;2,2;29,8;22,9;17,8;
2018-02-01;0;30,4;23,1;16,9;
2018-02-02;0;29,8;23,1;19,1;
2018-02-03;0;31,6;24,2;18,6;
2018-02-04;0;30,6;23,3;18,2;
2018-02-05;0;30,3;23,2;17,8;
2018-02-06;0;31,2;23,1;16,2;
2018-02-07;0;31,8;23,7;17,4;
2018-02-08;0;33,2;25,2;19;
2018-02-09;0;34,1;26,2;20,1;
2018-02-10;14,8;27,3;22,7;19,8;
2018-02-11;,6;31,7;24,1;21,4;
2018-02-12;0;29;23,5;20,4;
2018-02-13;5,2;29,1;23,3;19,8;
2018-02-14;1;25,6;21,3;18,5;
2018-02-15;,6;21,9;20;18,9;
2018-02-16;,8;30,8;23;17,9;
2018-02-17;0;31,4;22,4;17,7;
2018-02-18;2;26,2;21,2;18,8;
2018-02-19;14,4;27,8;22,1;19,1;
2018-02-20;9,8;27,8;22;18,8;
2018-02-21;1;30,1;23,4;18,3;
2018-02-22;0;31,6;24,7;19,2;
2018-02-23;0;31,6;24,3;19,4;
2018-02-24;0;31,5;24;18,1;
2018-02-25;0;30,9;23,7;18;
2018-02-26;0;28;21,8;18,6;
2018-02-27;22,4;28,1;21,9;20;
2018-02-28;7,2;31,7;23,9;20;
2018-03-01;0;30,2;23,6;20,8;
2018-03-02;28;31,5;23,5;20;
2018-03-03;10,8;30,9;23,8;20,1;
2018-03-04;4;32,4;25,5;20,6;
2018-03-05;4;32,5;25,6;20,7;
2018-03-06;1,4;32,4;25,3;20,2;
2018-03-07;0;31,6;24,5;21,6;
2018-03-08;,2;30;24,2;20,4;
2018-03-09;0;31,9;24,6;18,8;
2018-03-10;0;30,7;23,3;20,1;
2018-03-11;16;32,2;24,8;19,5;
2018-03-12;0;33,3;26,5;21,5;
2018-03-13;0;32,4;26,4;22;
2018-03-14;0;34,6;27,7;21,7;
2018-03-15;14,8;31,9;25,2;20,3;
2018-03-16;40,4;32,4;24,5;19,9;
2018-03-17;0;32;24,1;20,6;
2018-03-18;2;32,6;25,4;20,4;
2018-03-19;0;34;26,8;21,9;
2018-03-20;0;33;25,8;21,6;
2018-03-21;48,4;32;23,5;19,8;
2018-03-22;27,2;30;23,2;19,4;
2018-03-23;0;32,3;24,7;19,5;
2018-03-24;0;32;25,4;20,8;
2018-03-25;0;30,6;25;21;
2018-03-26;0;25,6;21,4;20;
2018-03-27;7,6;29,4;22,1;18,3;
2018-03-28;0;31,1;23,4;19,1;
2018-03-29;0;31,5;24;19;
2018-03-30;0;30,9;23,8;20,4;
2018-03-31;0;26,8;22,7;19,6;
2018-04-01;0;29,2;22,5;19,8;
2018-04-02;5,4;27,5;22,2;20,2;
2018-04-03;3,6;26,1;21,8;19,9;
2018-04-04;4;28,8;21,6;18,5;
2018-04-05;,2;29,1;21,7;17,6;
2018-04-06;0;29,9;22,4;17,4;
2018-04-07;0;30,6;22,3;16,9;
2018-04-08;0;30,8;23,1;17,9;
2018-04-09;0;30,7;23,7;19;
2018-04-10;0;30,5;23,8;18,8;
2018-04-11;0;30,1;23,3;18,7;
2018-04-12;0;27,8;22,1;17,4;
2018-04-13;0;30,5;23,1;17,5;
2018-04-14;0;28,8;23,1;19;
2018-04-15;0;26,9;21,7;18,9;
2018-04-16;0;26,1;20,7;17,2;
2018-04-17;0;26,8;20,9;16,5;
2018-04-18;0;27,3;20,5;15,1;
2018-04-19;0;29,1;20,9;15,3;
2018-04-20;0;28,9;21,1;15,9;
2018-04-21;0;28,7;20,6;13,5;
2018-04-22;0;29,7;20,5;14,8;
2018-04-23;0;29,4;21,7;16,4;
2018-04-24;0;29,9;22,1;16,7;
2018-04-25;0;30,2;22,4;16,5;
2018-04-26;0;29,9;22,8;17,5;
2018-04-27;0;30,5;23,1;18,7;
2018-04-28;0;30,8;23,6;18,8;
2018-04-29;0;30;23,1;18,2;
2018-04-30;0;31;24,1;19,5;
2018-05-01;0;31,4;23,8;18;
2018-05-02;0;30;23,1;19,1;
2018-05-03;0;30;22,9;18,1;
2018-05-04;0;31,5;23,3;18,2;
2018-05-05;0;32;23,8;17,2;
2018-05-06;0;29,5;23,4;19,1;
2018-05-07;0;28;22,1;18,1;
2018-05-08;0;27,6;21,6;17;
2018-05-09;0;28,1;21;16,5;
2018-05-10;0;28,6;20,8;15,7;
2018-05-11;0;29;22,3;17,6;
2018-05-12;0;27,3;21,7;18;
2018-05-13;0;28,2;20,1;15,1;
2018-05-14;0;28,6;20,1;14,9;
2018-05-15;0;28,8;22,1;17,6;
2018-05-16;,6;28,7;21,1;17,6;
2018-05-17;,2;28,4;21,1;16,5;
2018-05-18;,2;30,1;22,4;17,7;
2018-05-19;6,6;23,3;19;15,4;
2018-05-20;1,6;19,1;12,9;8;
2018-05-21;0;21,9;12,8;6,8;
2018-05-22;0;23,9;15,5;9,7;
2018-05-23;0;25;16,8;11,4;
2018-05-24;0;26,2;18,1;13,2;
2018-05-25;0;25,9;19;14,7;
2018-05-26;0;27,1;19,5;14,3;
2018-05-27;0;26,8;19,3;14,3;
2018-05-28;0;25,5;18,5;12,2;
2018-05-29;0;25,8;18,5;13,1;
2018-05-30;0;25,9;18,8;13,7;
2018-05-31;0;26,6;18,5;13,1;
2018-06-01;0;27,3;19,7;14,5;
2018-06-02;0;28,2;21,4;17,4;
2018-06-03;0;24,9;20;17,6;
2018-06-04;1,8;20,7;16,4;13,5;
2018-06-05;0;24,5;17,9;14,2;
2018-06-06;,2;24,3;19;15,6;
2018-06-07;,2;25,2;19,5;17,1;
2018-06-08;,2;21,2;16,3;13,7;
2018-06-09;0;24,9;16,9;11,8;
2018-06-10;0;29,1;21,1;14,5;
2018-06-11;0;30,2;23,8;18,7;
2018-06-12;0;30;23;17,8;
2018-06-13;10;24,8;20,8;18,2;
2018-06-14;0;24,3;19,5;16,9;
2018-06-15;0;24,2;17,6;13,5;
2018-06-16;0;22,9;16,4;12,3;
2018-06-17;0;24,2;17;12,4;
2018-06-18;0;25,2;17,6;12,6;
2018-06-19;0;25,6;18,4;13,5;
2018-06-20;0;26,1;19,3;14,2;
2018-06-21;0;27,5;20,2;15,1;
2018-06-22;0;27,6;20,7;14,6;
2018-06-23;0;28,8;21,4;15,8;
2018-06-24;0;28;22,7;18,3;
2018-06-25;0;29,3;21,8;15,5;
2018-06-26;0;29,7;22;17,2;
2018-06-27;0;29,5;21,8;16,9;
2018-06-28;0;28,4;20,8;16,2;
2018-06-29;0;28;21;16,8;
2018-06-30;0;28,3;20,9;15,5;
2018-07-01;0;28,5;21;15,5;
2018-07-02;0;29,6;22;16,9;
2018-07-03;0;29,8;22,3;16,2;
2018-07-04;0;28,2;19,6;14;
2018-07-05;0;29,7;21,5;16,1;
2018-07-06;0;28,5;21,5;15,6;
2018-07-07;0;27,8;20,8;14;
2018-07-08;0;29,4;21,2;14,7;
2018-07-09;0;27,6;20,9;15,8;
2018-07-10;,2;21;15,4;10,7;
2018-07-11;0;19,7;12,2;6,1;
2018-07-12;null;22,2;null;6,2;
2018-07-13;null;null;null;null;
2018-07-14;null;null;null;null;
2018-07-15;null;null;null;null;
2018-07-16;null;null;null;null;
2018-07-17;null;null;null;null;
2018-07-18;null;null;null;null;
2018-07-19;null;null;null;null;
2018-07-20;null;null;null;null;
2018-07-21;null;null;null;null;
2018-07-22;null;null;null;null;
2018-07-23;null;null;null;null;
2018-07-24;null;null;null;null;
2018-07-25;null;null;null;null;
2018-07-26;null;null;null;null;
2018-07-27;null;null;null;null;
2018-07-28;null;null;null;null;
2018-07-29;null;null;null;null;
2018-07-30;null;null;null;null;
2018-07-31;null;null;null;null;
2018-08-01;null;null;null;null;
2018-08-02;null;null;null;null;
2018-08-03;null;null;null;null;
2018-08-04;null;null;null;null;
2018-08-05;null;null;null;null;
2018-08-06;null;null;null;null;
2018-08-07;null;null;null;null;
2018-08-08;null;null;null;null;
2018-08-09;null;null;null;null;
2018-08-10;null;null;null;null;
2018-08-11;null;null;null;null;
2018-08-12;null;null;null;null;
2018-08-13;null;null;null;null;
2018-08-14;null;null;null;null;
2018-08-15;null;null;null;null;
2018-08-16;null;null;null;null;
2018-08-17;null;null;null;null;
2018-08-18;null;null;null;null;
2018-08-19;null;null;null;null;
2018-08-20;null;null;null;null;
2018-08-21;0;31,2;22,7;15,9;
2018-08-22;0;24,3;18,8;15,3;
2018-08-23;0;29,7;21;14,9;
2018-08-24;0;24,5;19,6;18,1;
2018-08-25;17,2;23,8;18,9;16,7;
2018-08-26;null;24;null;11,7;
2018-08-27;0;25,2;16;9,1;
2018-08-28;0;27,7;18,7;12,3;
