Nome: SAO CARLOS
Codigo Estacao: A711
Latitude: -21.98027777
Longitude: -47.88388888
Altitude: 859.29
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2018-01-01;9,6;28,6;21,6;18,5;
2018-01-02;7,4;26;20,6;19,4;
2018-01-03;30;24,6;20,8;18,7;
2018-01-04;17,4;29;23,3;18,6;
2018-01-05;0;29,7;23,4;19;
2018-01-06;0;27;21,7;19,2;
2018-01-07;2,8;22,9;19,1;16,8;
2018-01-08;2,6;22,6;19,5;17,7;
2018-01-09;3,4;25,7;21;18,4;
2018-01-10;,2;30,2;23,2;18,7;
2018-01-11;,4;28,9;22,6;19;
2018-01-12;33,6;26,3;19,7;17,3;
2018-01-13;20,4;28,1;20,8;16,9;
2018-01-14;37,2;28,6;22;17,7;
2018-01-15;4,2;28,6;22,6;18,5;
2018-01-16;1,6;27,9;22,8;19,1;
2018-01-17;0;30,3;23,9;19,6;
2018-01-18;4,4;30,8;24,8;19,8;
2018-01-19;1,8;30,4;23,8;19,2;
2018-01-20;,8;31,2;23,9;19,7;
2018-01-21;2;30,6;24,5;20,8;
2018-01-22;0;31,5;25,4;21,5;
2018-01-23;0;32,7;26;21,5;
2018-01-24;1,4;29,8;24,3;19,6;
2018-01-25;1,6;30,8;24,3;20,3;
2018-01-26;0;30,1;23,2;19,9;
2018-01-27;3,2;29,4;23,3;19;
2018-01-28;0;29,1;23,1;20,8;
2018-01-29;37,2;28,5;23,1;19,9;
2018-01-30;23,8;25,1;21,7;20,2;
2018-01-31;6,2;27,4;21,6;16,9;
2018-02-01;0;29,2;22,4;16,9;
2018-02-02;0;28,2;22,5;17,9;
2018-02-03;0;29,8;23,3;17,8;
2018-02-04;0;28,2;21,9;16,7;
2018-02-05;0;27;21,7;17,4;
2018-02-06;2;26,7;21,6;17,1;
2018-02-07;0;29,5;22,8;16,2;
2018-02-08;0;31,4;23,3;15,7;
2018-02-09;0;32,5;24,9;18,8;
2018-02-10;,2;28,1;23,4;20,7;
2018-02-11;0;31,1;24,8;21;
