Nome: LINS
Codigo Estacao: A727
Latitude: -21.66611111
Longitude: -49.73472221
Altitude: 460.65
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2018-01-01;11;32,2;24,3;20,3;
2018-01-02;23,6;26,6;22,6;21;
2018-01-03;34,8;30,1;24,3;20,7;
2018-01-04;0;32,1;25,9;21,1;
2018-01-05;0;33,8;26,6;20,7;
2018-01-06;52,8;29,8;24,7;19,4;
2018-01-07;0;27,8;23,6;19,7;
2018-01-08;1,2;25,9;21,2;19,6;
2018-01-09;30,2;24,7;22,1;20,2;
2018-01-10;,6;31;24,8;20,8;
2018-01-11;0;32,2;24,8;21,7;
2018-01-12;0;28,5;23,1;20,7;
2018-01-13;1,2;31,9;25;20,6;
2018-01-14;0;32,7;25;20,6;
2018-01-15;3,4;31,2;24,8;20,4;
2018-01-16;3,4;31,8;24,1;21,1;
2018-01-17;7,8;33,5;26,3;21,8;
2018-01-18;3,4;34,5;26,7;23,1;
2018-01-19;4,4;34,3;26,2;19,9;
2018-01-20;0;35,8;28,2;22,1;
2018-01-21;0;35,9;27,7;21,6;
2018-01-22;0;36,2;28,7;22,5;
2018-01-23;2,4;36,6;29,4;23,2;
2018-01-24;0;34,8;28,4;22,6;
2018-01-25;3,4;33;26,2;21,6;
2018-01-26;0;33,2;26,3;22;
2018-01-27;13;33;26;21,1;
2018-01-28;2,8;33,9;26,1;21,3;
2018-01-29;0;32,5;25,7;21,7;
2018-01-30;2,2;29,6;24,2;21,6;
2018-01-31;18,2;30,9;24,7;19,5;
2018-02-01;0;31,2;24,7;19,1;
2018-02-02;0;30,5;25;20,5;
2018-02-03;0;33;26,1;20,2;
2018-02-04;0;31,3;25,3;18,9;
2018-02-05;0;31,3;25;18,8;
2018-02-06;0;32,5;25,4;19;
2018-02-07;0;33,9;26,3;19,3;
2018-02-08;0;34,5;26,6;19,8;
2018-02-09;0;35,6;26,8;21,4;
2018-02-10;,8;29,1;24,7;22;
2018-02-11;,2;33,7;26,4;22,6;
2018-02-12;0;32;26,2;21,7;
2018-02-13;1;31,7;25,1;21,8;
2018-02-14;33,6;25,1;22;19,2;
2018-02-15;5,2;23,9;21,5;19,5;
2018-02-16;0;32,4;24,8;18,6;
2018-02-17;28,8;31,3;24,1;18,7;
2018-02-18;11,2;27,7;22,9;19,8;
2018-02-19;1,4;29,3;23,4;20,5;
2018-02-20;33,4;28,8;22,9;19,6;
2018-02-21;3,8;31,3;24,9;19,4;
2018-02-22;0;33,6;26,4;20,4;
2018-02-23;0;33,9;26,4;20,8;
2018-02-24;0;32,3;25,7;19,7;
2018-02-25;0;32,6;25,9;20,1;
2018-02-26;0;29,2;24,4;21,5;
2018-02-27;45,8;25,7;22,7;21;
2018-02-28;8,4;32,9;26,3;21,2;
2018-03-01;0;33,7;27,2;22,6;
2018-03-02;0;33,8;26,7;22,6;
2018-03-03;0;32,8;25,7;21,4;
2018-03-04;0;34,4;27,2;21,2;
2018-03-05;0;34,6;27;22,3;
2018-03-06;0;35,3;28,1;22,2;
2018-03-07;0;33,9;26,2;21,8;
2018-03-08;12,2;31;25,7;22,1;
2018-03-09;0;32,4;26,2;20,8;
2018-03-10;1,8;32,6;25,8;21,8;
2018-03-11;11,4;33,7;26,7;21,7;
2018-03-12;0;35,3;28,1;22,3;
2018-03-13;0;35,9;27,2;23,2;
2018-03-14;34;35,7;28,2;22,3;
2018-03-15;,2;34,2;27,7;21,7;
2018-03-16;0;34,4;26,2;22,2;
2018-03-17;5;32,5;26,1;21,3;
2018-03-18;0;34,8;27,9;22,4;
2018-03-19;0;35,7;29;23,6;
2018-03-20;0;35,3;27,5;23,8;
2018-03-21;0;33,8;25,9;21,6;
2018-03-22;11,8;31,4;25,1;20,6;
2018-03-23;,2;33,6;26,9;21;
2018-03-24;0;33,2;27,6;22,5;
2018-03-25;0;32,8;26,2;22,4;
2018-03-26;11,6;27,7;23,1;21,5;
2018-03-27;1,2;30,9;24,2;19,8;
2018-03-28;0;32,1;25,7;20,5;
2018-03-29;0;32,9;26,1;20,2;
2018-03-30;0;33,6;26,9;21,4;
2018-03-31;0;26,9;23,3;22,1;
2018-04-01;4,2;29;23,4;20,9;
2018-04-02;15,4;28,7;23,7;20,9;
2018-04-03;0;29,6;24,3;21;
2018-04-04;,6;29,3;23,1;18,9;
2018-04-05;0;31,3;24;18,2;
2018-04-06;0;31,6;24,5;19;
2018-04-07;0;31,8;24,8;18,9;
2018-04-08;0;32,4;25,3;19,6;
2018-04-09;0;32,8;25,9;20,7;
2018-04-10;0;32,5;25,8;20;
2018-04-11;0;31,9;25,4;19,8;
2018-04-12;0;30,9;24,7;19,3;
2018-04-13;0;31,6;24,6;17,9;
2018-04-14;0;31;25,4;20,3;
2018-04-15;0;26,2;23,2;20,7;
2018-04-16;0;28,7;22,7;18,2;
2018-04-17;0;29,3;22,9;18;
2018-04-18;0;29,8;23,4;17,5;
2018-04-19;0;30,4;23,4;17,1;
2018-04-20;0;30,8;24,4;18,1;
2018-04-21;0;29,7;23,4;16,9;
2018-04-22;0;30,9;22,8;16,5;
2018-04-23;0;31,2;24,3;18,3;
2018-04-24;0;31,9;24,6;18,9;
2018-04-25;0;32,3;24,5;18,6;
2018-04-26;0;32,5;25,1;19;
2018-04-27;0;32,8;26;20,2;
2018-04-28;0;32,8;25,9;20,6;
2018-04-29;0;32,5;25,6;20;
2018-04-30;0;32,6;25;19;
2018-05-01;0;33,2;24,8;17,9;
2018-05-02;0;32,2;24,6;19,5;
2018-05-03;0;32;24,8;18,8;
2018-05-04;0;33,7;24,5;17,8;
2018-05-05;0;34;26,4;21;
2018-05-06;0;32,5;25,8;21,3;
2018-05-07;0;30,6;24,1;19;
2018-05-08;0;29,7;23,4;18,4;
2018-05-09;0;29,5;23,1;17,7;
2018-05-10;0;30,8;23,5;17,4;
2018-05-11;0;32,3;23,7;17,2;
2018-05-12;0;28,5;23,3;19,6;
2018-05-13;0;28,3;21,6;15,9;
2018-05-14;0;30,4;22,8;16,6;
2018-05-15;0;31;24;19,6;
2018-05-16;6,6;28,2;22,6;18,9;
2018-05-17;,2;29,4;22,8;18,3;
2018-05-18;0;32,2;24,5;19,3;
2018-05-19;12,4;24,6;20;17,1;
2018-05-20;,2;20,4;14,2;9;
2018-05-21;0;23,4;14,2;7;
2018-05-22;0;24,8;15,7;8,2;
2018-05-23;0;26,6;16,9;9,6;
2018-05-24;0;28,8;19,9;14;
2018-05-25;0;27,9;20,9;15,4;
2018-05-26;0;28,3;21,1;16;
2018-05-27;0;28,4;21,3;15,5;
2018-05-28;0;28,1;20,9;15,1;
2018-05-29;0;27,4;20,4;14,6;
2018-05-30;0;27,9;20,8;14,4;
2018-05-31;0;28,5;20,2;13,3;
2018-06-01;0;29;20,4;13,7;
2018-06-02;0;29,8;22,8;17,9;
2018-06-03;0;28;22,1;17,3;
2018-06-04;0;23,8;18,7;14,9;
2018-06-05;0;27,8;20,9;16,1;
2018-06-06;0;26,5;21,3;17,7;
2018-06-07;0;26,6;21;17,6;
2018-06-08;0;21,7;17,5;14,1;
2018-06-09;0;28,1;19,1;13,4;
2018-06-10;0;32,2;23,4;16,6;
2018-06-11;0;32,3;25,7;20,6;
2018-06-12;0;32,7;24,9;18,5;
2018-06-13;9;26,2;22,3;19,3;
2018-06-14;0;28,2;21,5;16,8;
2018-06-15;0;26,5;20,3;15;
2018-06-16;0;25,4;19,1;14;
2018-06-17;0;27,1;19,4;13,7;
2018-06-18;0;26,6;20;14,4;
