Nome: IBITINGA
Codigo Estacao: A737
Latitude: -21.85555555
Longitude: -48.79972221
Altitude: 496.75
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2018-01-01;0;31,2;23,4;19,7;
2018-01-02;0;28,9;22,1;19,5;
2018-01-03;0;28,9;23,4;20,2;
2018-01-04;0;31,5;25,2;20;
2018-01-05;0;32,1;25;19;
2018-01-06;0;30;24,5;21;
2018-01-07;null;27,5;22,1;17,8;
2018-01-08;null;23,9;21,2;19,1;
2018-01-09;null;25,1;21,6;19,9;
2018-01-10;null;30,9;24,2;18,5;
2018-01-11;null;32,3;23,7;20,3;
2018-01-12;null;29,3;22,2;18,8;
2018-01-13;null;30,5;23,2;19,2;
2018-01-14;null;27,5;22,5;18,6;
2018-01-15;null;31,3;24,6;20;
2018-01-16;null;30,1;23,4;20,2;
2018-01-17;null;31,4;23,2;20,2;
2018-01-18;null;32,9;25,1;20,6;
2018-01-19;null;34;25,6;20;
2018-01-20;null;34,9;26,2;20,2;
2018-01-21;null;34,9;25,6;20,6;
2018-01-22;null;35,7;26,6;21;
2018-01-23;null;35,6;28,1;21,4;
2018-01-24;null;34,6;26,6;21;
2018-01-25;null;31;24,5;20,6;
2018-01-26;null;31,7;24,5;20,4;
2018-01-27;null;33,1;25,1;19,7;
2018-01-28;null;33,3;24,3;20,5;
2018-01-29;null;30,7;24,1;19,8;
2018-01-30;null;27,2;23;20,6;
2018-01-31;null;29,8;23,5;18,3;
2018-02-01;null;31,2;23,5;16,9;
2018-02-02;null;29,5;23,8;18,6;
2018-02-03;null;32,2;24,6;18,1;
2018-02-04;null;31,4;23,4;16,6;
2018-02-05;null;30,1;23,3;16,9;
2018-02-06;null;30,7;23,9;18,2;
2018-02-07;null;31,7;24,4;16,9;
2018-02-08;null;33,2;25,3;16,7;
2018-02-09;null;35;26,5;18,2;
2018-02-10;null;27,6;23,5;21,5;
2018-02-11;null;33;25,1;20,7;
2018-02-12;null;31,9;25,3;20,6;
2018-02-13;null;30,8;24,5;20,7;
2018-02-14;null;23,4;20,7;18,9;
2018-02-15;null;23,8;20,7;19;
2018-02-16;null;32;23,7;17,9;
2018-02-17;null;31,3;22,9;17,6;
2018-02-18;null;26,7;22,2;19,2;
2018-02-19;null;29,6;23,1;19,3;
2018-02-20;null;29,8;23,4;20,2;
2018-02-21;null;30,4;24,6;19,7;
2018-02-22;null;32,5;26,1;19,8;
2018-02-23;null;32,6;25,7;19,7;
2018-02-24;null;31,5;24,6;19,1;
2018-02-25;null;31,3;24,2;17,5;
2018-02-26;null;27,4;22,7;19,3;
2018-02-27;null;27,5;23;20,7;
2018-02-28;null;31,8;24,9;19,3;
2018-03-01;null;33,2;25,6;21;
2018-03-02;null;31,6;24;20,6;
2018-03-03;null;32,4;24,3;20,1;
2018-03-04;null;32,7;26,2;21,1;
2018-03-05;null;33,5;26,4;21,1;
2018-03-06;null;34,3;27;21,5;
2018-03-07;null;32,4;25,5;21;
2018-03-08;null;31,2;24,9;21;
2018-03-09;null;31,6;24,9;19,2;
2018-03-10;null;31,8;24,2;20,7;
2018-03-11;null;32;25,2;20,4;
2018-03-12;null;33,8;27,1;20,6;
2018-03-13;null;33,7;26,9;22,3;
2018-03-14;null;35,7;27,6;21,3;
2018-03-15;null;32,4;26,1;20,5;
2018-03-16;null;32;25,4;21,8;
2018-03-17;null;31,9;24,7;20,2;
2018-03-18;null;34;26;20,2;
2018-03-19;null;34,4;27,4;21,3;
2018-03-20;null;30,6;25,5;21,5;
2018-03-21;null;32,8;24,9;19,9;
2018-03-22;null;30,9;24,1;19,3;
2018-03-23;null;33,6;25,5;19,5;
2018-03-24;null;32,6;25,8;20,2;
2018-03-25;null;32,4;26;21;
2018-03-26;null;27,4;22,5;20,2;
2018-03-27;null;29,5;23;18,5;
2018-03-28;null;32,1;24,5;18,7;
2018-03-29;null;32,2;24,4;18,1;
2018-03-30;null;31,8;24,4;19,2;
2018-03-31;null;28;23,5;20,2;
2018-04-01;null;30,1;22,9;20;
2018-04-02;0;29,2;23,4;20,5;
2018-04-03;0;29,1;23,5;20,3;
2018-04-04;1,8;29;22,7;19;
2018-04-05;0;30;22,9;16,4;
2018-04-06;0;30,1;22,4;16,2;
2018-04-07;0;31,3;22,8;16,1;
2018-04-08;0;32,1;23,3;17,3;
2018-04-09;0;31,6;24,1;18,1;
2018-04-10;0;31,6;23,8;18;
2018-04-11;0;31,1;23,3;17,3;
2018-04-12;0;29,5;22,6;16,4;
2018-04-13;0;30,9;23,6;16,5;
2018-04-14;0;30,9;23,4;18;
2018-04-15;0;26,9;22,4;19,3;
2018-04-16;0;28,2;21,5;16,7;
2018-04-17;0;29,3;21,4;15,3;
2018-04-18;0;30,3;21,5;14,6;
2018-04-19;0;29,9;21,1;13,1;
2018-04-20;0;29,7;21,6;13,9;
2018-04-21;0;28,1;20,1;13,4;
2018-04-22;0;31;21;12,5;
2018-04-23;0;31,3;22,5;15,4;
2018-04-24;0;30,6;22,2;14,8;
2018-04-25;0;31,9;22,9;15,4;
2018-04-26;0;31,9;23,2;15,7;
2018-04-27;0;33,1;23,8;16,7;
2018-04-28;0;32,2;23,6;16,6;
2018-04-29;0;32,3;23,9;16,8;
2018-04-30;0;31,7;24,5;18,3;
2018-05-01;0;32,4;23,6;15,7;
2018-05-02;,2;32,2;23,5;17;
2018-05-03;0;31,9;23,2;15,3;
2018-05-04;0;33,2;23,3;14,2;
2018-05-05;0;33,8;25;17,8;
2018-05-06;0;32,7;24,3;19,5;
2018-05-07;0;30,7;22,3;15,9;
2018-05-08;0;29,6;22,1;15,5;
2018-05-09;0;29,9;21,6;14,9;
2018-05-10;0;30,7;21,8;13,9;
2018-05-11;0;31,1;22,4;14,7;
2018-05-12;0;29,4;22,7;16,3;
2018-05-13;0;28;21,7;15,8;
2018-05-14;0;31,2;21,4;13,4;
2018-05-15;0;28,7;22,7;18,2;
2018-05-16;0;30,6;21,3;16,8;
2018-05-17;,4;29,5;21,7;16,8;
2018-05-18;0;32;23,5;17,9;
2018-05-19;2,2;23,6;19,7;16,4;
2018-05-20;2,6;20,8;14,7;9,3;
2018-05-21;,2;23,2;14;5,5;
2018-05-22;0;25,3;15,6;6,7;
2018-05-23;0;26,3;16,4;7,1;
2018-05-24;0;27,6;18,2;11,4;
2018-05-25;0;27,7;19,4;13,4;
2018-05-26;0;28,2;19,4;12,5;
2018-05-27;,2;28,4;19,4;12,3;
2018-05-28;0;28,1;18,9;10,2;
2018-05-29;0;27,4;18,6;10,9;
2018-05-30;0;27,8;18,9;10,7;
2018-05-31;0;27,7;19;10,7;
2018-06-01;0;29,4;19,2;10,7;
2018-06-02;0;29,9;21,3;14,7;
2018-06-03;0;27,7;21,7;17,4;
2018-06-04;,4;24,7;17,8;13,4;
2018-06-05;0;26,7;19,2;13,9;
2018-06-06;0;26,5;20,1;15,7;
2018-06-07;0;27,4;20,7;16,3;
2018-06-08;0;21;17,5;15,3;
2018-06-09;0;28,4;17,7;9,9;
2018-06-10;0;32,4;21,7;14,1;
2018-06-11;0;32,2;24,2;18,8;
2018-06-12;0;32,4;24,3;17,4;
2018-06-13;0;28,8;22,7;18,5;
2018-06-14;0;27,8;21,6;17,6;
2018-06-15;0;27,1;19,3;13,1;
2018-06-16;0;24,5;17,8;12,5;
2018-06-17;0;27,4;18,4;11,2;
2018-06-18;0;27;18,7;12,7;
2018-06-19;0;28,4;19,8;13,1;
2018-06-20;0;28,5;20;12,7;
2018-06-21;0;29;20;11,8;
2018-06-22;0;29;19,6;12,4;
2018-06-23;0;31,9;23,3;15,4;
2018-06-24;0;31,8;23,9;19,3;
2018-06-25;0;31,2;22,5;13,8;
2018-06-26;0;31,9;21,4;11,7;
2018-06-27;0;31,5;21,1;12,1;
2018-06-28;0;30,7;21,3;13,3;
2018-06-29;0;29,8;21,2;14,1;
2018-06-30;0;30,1;20,8;12,3;
2018-07-01;0;30,2;20,7;12,2;
2018-07-02;0;31,1;21,8;13,2;
2018-07-03;0;30,4;21,5;12;
2018-07-04;0;30,6;20,5;12,4;
2018-07-05;0;31,5;21,4;13,2;
2018-07-06;0;30,5;21;12,1;
2018-07-07;0;29,6;21;12,4;
2018-07-08;0;30,4;20,4;11,1;
2018-07-09;0;29,2;20,5;12,6;
2018-07-10;0;21,8;16,8;13,5;
2018-07-11;0;21,6;13,1;6,1;
2018-07-12;0;22,9;13,2;5,9;
2018-07-13;0;27,5;15,9;6,4;
2018-07-14;0;30,5;20,2;9,6;
2018-07-15;0;32,5;21,3;10,5;
2018-07-16;0;31,2;21,7;12,7;
2018-07-17;0;30,5;20,9;11,3;
2018-07-18;0;31,6;21,2;11,9;
2018-07-19;0;31;22,7;15,4;
2018-07-20;0;31,4;21,9;12,9;
2018-07-21;0;30,3;21,1;11,3;
2018-07-22;0;30,2;21;12,6;
2018-07-23;0;30,1;21,1;13,7;
2018-07-24;0;29,1;20,3;12,1;
2018-07-25;0;28,9;19,9;11,6;
2018-07-26;0;29,6;20,4;12,1;
2018-07-27;0;30,7;21;11,4;
2018-07-28;0;31,9;22,2;13,1;
2018-07-29;0;32,7;22,9;12,7;
2018-07-30;0;33,2;23,5;14,1;
2018-07-31;0;27,4;20,7;16,4;
2018-08-01;0;22,5;17,1;13,8;
2018-08-02;1,6;26,6;18,7;13,3;
2018-08-03;5,2;20,4;16,5;14,6;
2018-08-04;19,2;23,4;18,1;15;
2018-08-05;0;23,9;18,8;16,5;
2018-08-06;3;18,1;15,9;15,1;
2018-08-07;3;23,4;16,6;12,1;
2018-08-08;0;26,5;17,3;11,8;
2018-08-09;1,8;25,9;19,4;15,3;
2018-08-10;0;22,5;15,2;8,2;
2018-08-11;0;23,9;15,2;6,7;
2018-08-12;0;26,3;15,6;6,1;
2018-08-13;0;28,4;17,1;8,2;
2018-08-14;,2;30,2;18,9;10,1;
2018-08-15;0;29,2;19,1;9,9;
2018-08-16;0;26,2;18,7;14,5;
2018-08-17;0;27,4;19,3;13,4;
2018-08-18;0;28,9;19,2;11,2;
2018-08-19;0;30,8;21,2;12,7;
2018-08-20;0;32;22,4;12,7;
2018-08-21;0;32,3;22,9;13,6;
2018-08-22;0;27,6;19,7;14,1;
2018-08-23;0;32,1;22,1;15,2;
2018-08-24;0;31,8;20,3;16,7;
2018-08-25;7,4;24,3;20,3;17,3;
2018-08-26;,2;26,1;19,2;13,7;
2018-08-27;0;27,4;17,2;9,8;
2018-08-28;0;30;19,9;12,2;
2018-08-29;0;31;22,1;13,7;
2018-08-30;0;32;23,5;14,8;
2018-08-31;0;33,4;24,2;14,7;
2018-09-01;0;34,5;25,2;16,4;
2018-09-02;0;35,8;25,2;17;
2018-09-03;3;22,8;16,6;14,7;
2018-09-04;,4;22,7;15,9;10,9;
2018-09-05;0;24,2;15,7;8,6;
2018-09-06;0;29,7;18,3;8,4;
2018-09-07;0;32,2;20,9;10,7;
2018-09-08;0;33,2;22,7;13,3;
2018-09-09;0;32,9;22,4;12,8;
2018-09-10;0;32,5;21,3;11,8;
2018-09-11;0;31,9;21,9;14;
2018-09-12;0;31,9;21,9;13,1;
2018-09-13;0;34,4;23;13,8;
2018-09-14;4,8;26,4;18,8;15,9;
2018-09-15;10,8;25,8;20,4;17,2;
2018-09-16;,2;28,3;20,9;15,3;
2018-09-17;11,2;22,4;18,4;15,6;
2018-09-18;1,6;26,7;21,3;15,7;
2018-09-19;,2;31,8;24,2;17,2;
2018-09-20;5,8;26,8;19,8;16,7;
2018-09-21;6,8;28,9;21,1;15,4;
2018-09-22;0;32;23,8;16,7;
2018-09-23;0;33,9;24,6;15,7;
2018-09-24;0;36,3;26,1;16,3;
2018-09-25;0;36,2;25,8;16,4;
2018-09-26;,4;34,8;26,1;19,3;
2018-09-27;1,8;27,5;23,3;20,8;
2018-09-28;0;29,2;22,8;19,7;
2018-09-29;0;32,5;24,6;17,9;
2018-09-30;0;26,2;21,8;19,6;
2018-10-01;4,2;31,4;24,1;19,3;
2018-10-02;0;33,9;26,4;19,5;
2018-10-03;0;35,2;27;20,4;
2018-10-04;19,6;31,8;24,4;19,1;
2018-10-05;0;30,6;23,2;17,8;
2018-10-06;0;29,5;21;15,1;
2018-10-07;0;28;21,5;16,9;
2018-10-08;6;24,9;21,8;19,6;
2018-10-09;1,8;30,5;23,8;18,9;
2018-10-10;1;31,6;24,3;20,3;
2018-10-11;0;27,4;22,9;20;
2018-10-12;0;33,8;24,8;17,7;
2018-10-13;0;32,6;25,7;21,3;
2018-10-14;,4;30,4;24,5;20,5;
2018-10-15;3,2;30,2;23,2;18,9;
2018-10-16;1,6;31,6;24,5;19,2;
2018-10-17;7,4;30,7;25,7;22,1;
2018-10-18;2,6;34;25,9;19,3;
2018-10-19;1,6;29,8;23,1;19,5;
2018-10-20;0;27,4;21,4;16,2;
2018-10-21;0;29,8;20,8;12,2;
2018-10-22;0;32,7;23;13,9;
2018-10-23;0;34,3;25,9;18,4;
2018-10-24;0;26,6;21,4;19,1;
2018-10-25;,4;24,3;21,4;20;
2018-10-26;1;29;22,6;20,4;
2018-10-27;9,4;27,6;23,3;21,2;
2018-10-28;2,6;28,6;22,6;17,4;
2018-10-29;0;28,9;20,3;12,8;
2018-10-30;,4;32,7;23,7;15,3;
2018-10-31;0;34,1;25,5;18,1;
2018-11-01;0;31,1;24,8;19,7;
2018-11-02;0;32,8;25,3;19,1;
2018-11-03;0;35;26,7;19,1;
2018-11-04;2,2;28,9;23,4;19;
2018-11-05;,4;29;22,2;16,9;
2018-11-06;0;32,3;23,3;16,9;
2018-11-07;40,2;23,8;21,1;18,7;
2018-11-08;4,8;22,7;19,1;16,5;
2018-11-09;2,2;23,7;19,8;16,2;
2018-11-10;0;28,5;22;18,5;
2018-11-11;,4;32;24,7;19,8;
2018-11-12;0;34,3;26,4;19,4;
2018-11-13;0;35,3;27,4;20,7;
2018-11-14;0;34,7;27,1;21;
2018-11-15;0;34,3;27;20,9;
2018-11-16;0;34,3;26;20,2;
2018-11-17;,2;32;24,3;17,8;
2018-11-18;,6;31,6;25;22,3;
2018-11-19;30,4;23,8;21,1;21,4;
2018-11-20;3;26,1;20,6;16,8;
2018-11-21;0;28,4;22,1;16,9;
2018-11-22;0;30,4;24;18,9;
2018-11-23;12,6;26,1;22,3;19,9;
2018-11-24;40,4;28,5;22,6;19,2;
2018-11-25;6,8;30,6;24,2;20,3;
2018-11-26;10;30;23,5;19;
2018-11-27;0;31,7;23,6;15,7;
2018-11-28;0;32,7;25;17,6;
2018-11-29;0;33;25,8;18,5;
2018-11-30;0;33,1;25,8;22;
2018-12-01;3,2;28,5;22,8;21,2;
2018-12-02;6,4;30,8;24,5;20;
2018-12-03;0;30;23,8;17,8;
2018-12-04;0;32,9;24,6;16,7;
2018-12-05;0;33,6;26,4;19,1;
2018-12-06;0;34,2;26,9;17,9;
2018-12-07;0;32,8;25,2;18,7;
2018-12-08;0;28,1;21,7;16,4;
2018-12-09;0;31,7;22,1;12,8;
2018-12-10;0;33,4;25,1;17,7;
2018-12-11;0;34,1;26,5;18,7;
2018-12-12;0;35,3;26,7;18,6;
2018-12-13;1;35,5;27;20;
2018-12-14;0;35,5;25,9;19,1;
2018-12-15;2,4;35,2;25,1;20,7;
2018-12-16;10,4;35,6;27,1;19,5;
2018-12-17;0;36,5;27,8;22,1;
2018-12-18;3,6;35;27,8;21,5;
2018-12-19;,2;32,4;26,5;22,4;
2018-12-20;0;36,9;28;20,6;
2018-12-21;0;35,6;26,8;21;
2018-12-22;0;35,3;26,3;20,5;
2018-12-23;12,4;31,6;24,6;21,1;
2018-12-24;5,8;31,1;23,9;21,3;
2018-12-25;3,2;29,2;23,5;20,3;
2018-12-26;,4;29;23,9;20,9;
2018-12-27;1,4;32,4;25,4;21,7;
2018-12-28;0;32,4;24,9;19,5;
2018-12-29;3,6;32,6;25,4;20,2;
2018-12-30;7;33,1;25,9;20,7;
2018-12-31;0;34,1;27;20,9;
2019-01-01;0;32,8;25,3;20,3;
2019-01-02;6,8;33,7;27;21,5;
2019-01-03;0;33,9;26,9;21,9;
2019-01-04;,2;30,9;24,6;21,1;
2019-01-05;48,8;27,2;22,9;20,4;
2019-01-06;1;30,7;24;20,5;
2019-01-07;3,4;34,1;26,5;19,8;
2019-01-08;1;34,6;27,6;20,8;
2019-01-09;0;35;27,7;21,2;
2019-01-10;0;33,6;27,8;22,4;
2019-01-11;0;34,1;27;20,9;
2019-01-12;3,2;33,4;24,8;19,6;
2019-01-13;17,4;31,9;24,5;19,3;
2019-01-14;,2;34,8;27,3;21,2;
2019-01-15;0;34,3;27,1;22,2;
2019-01-16;,2;35,1;26;21,5;
2019-01-17;1,6;32,9;25,1;19,5;
2019-01-18;,6;34;27,1;21,1;
2019-01-19;0;35,1;25,9;21;
2019-01-20;9,2;34,8;26,4;20,5;
2019-01-21;0;35,6;28;21,5;
2019-01-22;0;36,1;29,1;21,6;
2019-01-23;0;36,8;28,1;22;
