data;Maxima;Media;Minima
01/01/2018;31.2;23.4;19.7
02/01/2018;28.9;22.1;19.5
03/01/2018;28.9;23.4;20.2
04/01/2018;31.5;25.2;20
05/01/2018;32.1;25;19
06/01/2018;30;24.5;21
07/01/2018;27.5;22.1;17.8
08/01/2018;23.9;21.2;19.1
09/01/2018;25.1;21.6;19.9
10/01/2018;30.9;24.2;18.5
11/01/2018;32.3;23.7;20.3
12/01/2018;29.3;22.2;18.8
13/01/2018;30.5;23.2;19.2
14/01/2018;27.5;22.5;18.6
15/01/2018;31.3;24.6;20
16/01/2018;30.1;23.4;20.2
17/01/2018;31.4;23.2;20.2
18/01/2018;32.9;25.1;20.6
19/01/2018;34;25.6;20
20/01/2018;34.9;26.2;20.2
21/01/2018;34.9;25.6;20.6
22/01/2018;35.7;26.6;21
23/01/2018;35.6;28.1;21.4
24/01/2018;34.6;26.6;21
25/01/2018;31;24.5;20.6
26/01/2018;31.7;24.5;20.4
27/01/2018;33.1;25.1;19.7
28/01/2018;33.3;24.3;20.5
29/01/2018;30.7;24.1;19.8
30/01/2018;27.2;23;20.6
31/01/2018;29.8;23.5;18.3
01/02/2018;31.2;23.5;16.9
02/02/2018;29.5;23.8;18.6
03/02/2018;32.2;24.6;18.1
04/02/2018;31.4;23.4;16.6
05/02/2018;30.1;23.3;16.9
06/02/2018;30.7;23.9;18.2
07/02/2018;31.7;24.4;16.9
08/02/2018;33.2;25.3;16.7
09/02/2018;35;26.5;18.2
10/02/2018;27.6;23.5;21.5
11/02/2018;33;25.1;20.7
12/02/2018;31.9;25.3;20.6
13/02/2018;30.8;24.5;20.7
14/02/2018;23.4;20.7;18.9
15/02/2018;23.8;20.7;19
16/02/2018;32;23.7;17.9
17/02/2018;31.3;22.9;17.6
18/02/2018;26.7;22.2;19.2
19/02/2018;29.6;23.1;19.3
20/02/2018;29.8;23.4;20.2
21/02/2018;30.4;24.6;19.7
22/02/2018;32.5;26.1;19.8
23/02/2018;32.6;25.7;19.7
24/02/2018;31.5;24.6;19.1
25/02/2018;31.3;24.2;17.5
26/02/2018;27.4;22.7;19.3
27/02/2018;27.5;23;20.7
28/02/2018;31.8;24.9;19.3
01/03/2018;33.2;25.6;21
02/03/2018;31.6;24;20.6
03/03/2018;32.4;24.3;20.1
04/03/2018;32.7;26.2;21.1
05/03/2018;33.5;26.4;21.1
06/03/2018;34.3;27;21.5
07/03/2018;32.4;25.5;21
08/03/2018;31.2;24.9;21
09/03/2018;31.6;24.9;19.2
10/03/2018;31.8;24.2;20.7
11/03/2018;32;25.2;20.4
12/03/2018;33.8;27.1;20.6
13/03/2018;33.7;26.9;22.3
14/03/2018;35.7;27.6;21.3
15/03/2018;32.4;26.1;20.5
16/03/2018;32;25.4;21.8
17/03/2018;31.9;24.7;20.2
18/03/2018;34;26;20.2
19/03/2018;34.4;27.4;21.3
20/03/2018;30.6;25.5;21.5
21/03/2018;32.8;24.9;19.9
22/03/2018;30.9;24.1;19.3
23/03/2018;33.6;25.5;19.5
24/03/2018;32.6;25.8;20.2
25/03/2018;32.4;26;21
26/03/2018;27.4;22.5;20.2
27/03/2018;29.5;23;18.5
28/03/2018;32.1;24.5;18.7
29/03/2018;32.2;24.4;18.1
30/03/2018;31.8;24.4;19.2
